spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,F1,F2,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081795049800892e-01,6.5819995779676038e-02,1.2907776735536675e-01,1.5506754367762662e-01,1.9072163409285806e-01,1.6158600514512911e-01,2.7817496465551532e-02,5.1166940952367367e-03,5.1166945230645203e-03,5.1166951888789378e-03,0,-1,-1,-1,0,-1,-1,-1,1.3466228786873602e-01,-2.0870862580436603e-18,1.3466228786873602e-01,-1.5498669234537863e-17
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081795049800892e-01,6.5819995779676038e-02,1.2907776735536675e-01,1.5506754367762662e-01,1.9072163409285806e-01,1.6158600514512911e-01,2.7817496465551532e-02,5.1166940952367367e-03,5.1166945230645203e-03,5.1166951888789378e-03,0,-1,-1,-1,1,-1,-1,1,-7.8476645254045213e-02,-4.2591076412396993e-04,7.8477801003266220e-02,-3.1361654773756364e+00
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081795049800892e-01,6.5819995779676038e-02,1.2907776735536675e-01,1.5506754367762662e-01,1.9072163409285806e-01,1.6158600514512911e-01,2.7817496465551532e-02,5.1166940952367367e-03,5.1166945230645203e-03,5.1166951888789378e-03,0,-1,-1,-1,2,-1,1,-1,2.9302852057578689e-02,1.2318033959625961e-04,2.9303110962906425e-02,4.2036732051032233e-03
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081795049800892e-01,6.5819995779676038e-02,1.2907776735536675e-01,1.5506754367762662e-01,1.9072163409285806e-01,1.6158600514512911e-01,2.7817496465551532e-02,5.1166940952367367e-03,5.1166945230645203e-03,5.1166951888789378e-03,0,-1,-1,-1,3,-1,1,1,-1.1903362417792725e-02,-1.2388291596478196e-04,1.1904007049148962e-02,-3.1311856409183241e+00
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081795049800892e-01,6.5819995779676038e-02,1.2907776735536675e-01,1.5506754367762662e-01,1.9072163409285806e-01,1.6158600514512911e-01,2.7817496465551532e-02,5.1166940952367367e-03,5.1166945230645203e-03,5.1166951888789378e-03,0,-1,-1,-1,4,1,-1,-1,2.9524842074452516e-02,7.5636186433079178e-02,8.1194513347029013e-02,1.1986335507501302e+00
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081795049800892e-01,6.5819995779676038e-02,1.2907776735536675e-01,1.5506754367762662e-01,1.9072163409285806e-01,1.6158600514512911e-01,2.7817496465551532e-02,5.1166940952367367e-03,5.1166945230645203e-03,5.1166951888789378e-03,0,-1,-1,-1,5,1,-1,1,-1.4476155651364434e-02,-3.7522064515175146e-02,4.0217712614263587e-02,-1.9390050306544604e+00
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081795049800892e-01,6.5819995779676038e-02,1.2907776735536675e-01,1.5506754367762662e-01,1.9072163409285806e-01,1.6158600514512911e-01,2.7817496465551532e-02,5.1166940952367367e-03,5.1166945230645203e-03,5.1166951888789378e-03,0,-1,-1,-1,6,1,1,-1,4.5767309499946491e-03,1.1896948143528988e-02,1.2746914972590692e-02,1.2035506142668544e+00
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081795049800892e-01,6.5819995779676038e-02,1.2907776735536675e-01,1.5506754367762662e-01,1.9072163409285806e-01,1.6158600514512911e-01,2.7817496465551532e-02,5.1166940952367367e-03,5.1166945230645203e-03,5.1166951888789378e-03,0,-1,-1,-1,7,1,1,1,2.5458631250687085e-18,1.0183452500274834e-17,1.0496862573023349e-17,1.3258176636680326e+00
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081795049800892e-01,6.5819995779676038e-02,1.2907776735536675e-01,1.5506754367762662e-01,1.9072163409285806e-01,1.6158600514512911e-01,2.7817496465551532e-02,5.1166940952367367e-03,5.1166945230645203e-03,5.1166951888789378e-03,1,-1,-1,1,0,-1,-1,-1,-7.8476645254045213e-02,4.2591076412396960e-04,7.8477801003266220e-02,3.1361654773756364e+00
transverse_Tx,Tx_h_in_plus_plus_h_in_minus_over_sqrt2,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,1.0646705254983450e-02,5.0000000000000000e-01,True,1,1,1.2081795049800892e-01,6.5819995779676038e-02,1.2907776735536675e-01,1.5506754367762662e-01,1.9072163409285806e-01,1.6158600514512911e-01,2.7817496465551532e-02,5.1166940952367367e-03,5.1166945230645203e-03,5.1166951888789378e-03,1,-1,-1,1,1,-1,-1,1,4.6941494843667282e-02,2.1899750964830391e-19,4.6941494843667282e-02,4.6653288391783737e-18
