detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_massless_gamma_Ty_lepton_region_0,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_Ty_proton_unpolarized,enhanced_region_0,0,9.3056722814174908e-01,5.0000000000000000e-01,5.0486868014160979e-01,high_s_high_theta_in_high_Egamma,pp,2.3925063858084714e+00,0.0000000000000000e+00,2.2009640628902405e+00,0.0000000000000000e+00,2.2009640628902405e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2009640628902405e+00,1.5707949999999999e+00,1.2762720155208536e+00,1.8000000000000000e+00,4.6142142099600090e+00,4.6816546253268321e-01,2.7593511537314121e-02,-4.2171225334952511e-01,1.7378183938550212e+01,8.2217994771675229e-01
c_massless_gamma_Ty_lepton_region_0,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_Ty_proton_unpolarized,enhanced_region_0,0,9.3056722814174908e-01,5.0000000000000000e-01,5.0486868014160979e-01,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,-1.7643085259320881e-01,-1.7913325080099545e+00,0.0000000000000000e+00,1.8000000000000000e+00,4.6142142099600090e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2009640628902405e+00,1.5707949999999999e+00,1.2762720155208536e+00,1.8000000000000000e+00,4.6142142099600090e+00,4.6816546253268321e-01,2.7593511537314121e-02,-4.2171225334952511e-01,1.7378183938550212e+01,8.2217994771675229e-01
c_massless_gamma_lepton_massless_L_proton_Ty_region_0,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_0,0,2.6524048058350398e-10,1.0000000000000000e+00,7.6642230105823916e-01,high_s_high_theta_in_low_Egamma,k,2.2244176384674761e+00,-1.4111556110176815e+00,-1.7194980871782986e+00,-2.9513459707981364e-06,2.2244176384674765e+00,4.0251655874119221e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1915955855647962e+00,1.5707949999999999e+00,8.8357293382212898e-01,2.5000000000000000e-01,4.0251655874119221e+00,2.4935738046869744e+00,5.5014418231352991e-01,-2.2133236212737391e+00,2.9188525343658691e+00,2.1964442426113812e-01
c_massless_gamma_lepton_massless_L_proton_Ty_region_0,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_0,0,2.6524048058350398e-10,1.0000000000000000e+00,7.6642230105823916e-01,high_s_high_theta_in_low_Egamma,p,2.4140997970931570e+00,1.4111556110176815e+00,1.7194980871782986e+00,2.9513459707981364e-06,2.2244176384674765e+00,8.8357293382212898e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1915955855647962e+00,1.5707949999999999e+00,8.8357293382212898e-01,2.5000000000000000e-01,4.0251655874119221e+00,2.4935738046869744e+00,5.5014418231352991e-01,-2.2133236212737391e+00,2.9188525343658691e+00,2.1964442426113812e-01
c_massless_gamma_lepton_massless_L_proton_Ty_region_0,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_0,0,2.6524048058350398e-10,1.0000000000000000e+00,7.6642230105823916e-01,high_s_high_theta_in_low_Egamma,kp,2.0046266640136499e+00,1.5859832104091146e-01,-1.9983429722241119e+00,0.0000000000000000e+00,2.0046266640136499e+00,4.7915878884701613e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1915955855647962e+00,1.5707949999999999e+00,8.8357293382212898e-01,2.5000000000000000e-01,4.0251655874119221e+00,2.4935738046869744e+00,5.5014418231352991e-01,-2.2133236212737391e+00,2.9188525343658691e+00,2.1964442426113812e-01
c_massless_gamma_lepton_massless_L_proton_Ty_region_0,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_0,0,2.6524048058350398e-10,1.0000000000000000e+00,7.6642230105823916e-01,high_s_high_theta_in_low_Egamma,pp,2.3838907715470317e+00,0.0000000000000000e+00,2.1915955855647962e+00,0.0000000000000000e+00,2.1915955855647962e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1915955855647962e+00,1.5707949999999999e+00,8.8357293382212898e-01,2.5000000000000000e-01,4.0251655874119221e+00,2.4935738046869744e+00,5.5014418231352991e-01,-2.2133236212737391e+00,2.9188525343658691e+00,2.1964442426113812e-01
c_massless_gamma_lepton_massless_L_proton_Ty_region_0,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_0,0,2.6524048058350398e-10,1.0000000000000000e+00,7.6642230105823916e-01,high_s_high_theta_in_low_Egamma,qout,2.5000000000000000e-01,-1.5859832104091146e-01,-1.9325261334068417e-01,0.0000000000000000e+00,2.5000000000000000e-01,4.0251655874119221e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1915955855647962e+00,1.5707949999999999e+00,8.8357293382212898e-01,2.5000000000000000e-01,4.0251655874119221e+00,2.4935738046869744e+00,5.5014418231352991e-01,-2.2133236212737391e+00,2.9188525343658691e+00,2.1964442426113812e-01
c_massless_gamma_lepton_massless_L_proton_Ty_region_1,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_1,1,1.7319654318716270e-10,1.0000000000000000e+00,1.2907544244968481e+00,high_s_high_theta_in_low_Egamma,k,2.2244176384674761e+00,2.0550939279353826e+00,-8.5124777690143294e-01,-2.9513459707981364e-06,2.2244176384674756e+00,5.8904862254808616e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1371912273948257e+00,1.5707949999999999e+00,2.7488935718910685e+00,2.5000000000000000e-01,5.8904862254808616e+00,6.6139796599277174e+00,8.0757758086513898e-01,-5.8706413198675502e+00,2.4557643777161151e+00,3.9687439608663683e-01
c_massless_gamma_lepton_massless_L_proton_Ty_region_1,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_1,1,1.7319654318716270e-10,1.0000000000000000e+00,1.2907544244968481e+00,high_s_high_theta_in_low_Egamma,p,2.4140997970931570e+00,-2.0550939279353826e+00,8.5124777690143294e-01,2.9513459707981364e-06,2.2244176384674756e+00,2.7488935718910685e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1371912273948257e+00,1.5707949999999999e+00,2.7488935718910685e+00,2.5000000000000000e-01,5.8904862254808616e+00,6.6139796599277174e+00,8.0757758086513898e-01,-5.8706413198675502e+00,2.4557643777161151e+00,3.9687439608663683e-01
c_massless_gamma_lepton_massless_L_proton_Ty_region_1,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_1,1,1.7319654318716270e-10,1.0000000000000000e+00,1.2907544244968481e+00,high_s_high_theta_in_low_Egamma,kp,2.0545443546425073e+00,-2.3096988312782163e-01,-2.0415203693035533e+00,0.0000000000000000e+00,2.0545443546425073e+00,4.5997318009840136e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1371912273948257e+00,1.5707949999999999e+00,2.7488935718910685e+00,2.5000000000000000e-01,5.8904862254808616e+00,6.6139796599277174e+00,8.0757758086513898e-01,-5.8706413198675502e+00,2.4557643777161151e+00,3.9687439608663683e-01
c_massless_gamma_lepton_massless_L_proton_Ty_region_1,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_1,1,1.7319654318716270e-10,1.0000000000000000e+00,1.2907544244968481e+00,high_s_high_theta_in_low_Egamma,pp,2.3339730809187587e+00,0.0000000000000000e+00,2.1371912273948257e+00,0.0000000000000000e+00,2.1371912273948257e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1371912273948257e+00,1.5707949999999999e+00,2.7488935718910685e+00,2.5000000000000000e-01,5.8904862254808616e+00,6.6139796599277174e+00,8.0757758086513898e-01,-5.8706413198675502e+00,2.4557643777161151e+00,3.9687439608663683e-01
c_massless_gamma_lepton_massless_L_proton_Ty_region_1,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_1,1,1.7319654318716270e-10,1.0000000000000000e+00,1.2907544244968481e+00,high_s_high_theta_in_low_Egamma,qout,2.5000000000000000e-01,2.3096988312782163e-01,-9.5670858091272598e-02,0.0000000000000000e+00,2.5000000000000000e-01,5.8904862254808616e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1371912273948257e+00,1.5707949999999999e+00,2.7488935718910685e+00,2.5000000000000000e-01,5.8904862254808616e+00,6.6139796599277174e+00,8.0757758086513898e-01,-5.8706413198675502e+00,2.4557643777161151e+00,3.9687439608663683e-01
c_massless_gamma_lepton_massless_L_proton_Ty_region_2,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_2,2,1.3867299694196678e-10,1.0000000000000000e+00,1.1556371606650035e+00,high_s_high_theta_in_mid_Egamma,k,2.2244176384674761e+00,-1.4111556110176815e+00,-1.7194980871782986e+00,-2.9513459707981364e-06,2.2244176384674765e+00,4.0251655874119221e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0268215637865308e+00,1.5707949999999999e+00,8.8357293382212898e-01,1.0000000000000000e+00,4.0251655874119221e+00,3.7299646910771584e+00,3.2920635927379788e-01,-2.0531371805581982e+00,8.4800513605963044e+00,5.4904884917975705e-01
c_massless_gamma_lepton_massless_L_proton_Ty_region_2,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_2,2,1.3867299694196678e-10,1.0000000000000000e+00,1.1556371606650035e+00,high_s_high_theta_in_mid_Egamma,p,2.4140997970931570e+00,1.4111556110176815e+00,1.7194980871782986e+00,2.9513459707981364e-06,2.2244176384674765e+00,8.8357293382212898e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0268215637865308e+00,1.5707949999999999e+00,8.8357293382212898e-01,1.0000000000000000e+00,4.0251655874119221e+00,3.7299646910771584e+00,3.2920635927379788e-01,-2.0531371805581982e+00,8.4800513605963044e+00,5.4904884917975705e-01
c_massless_gamma_lepton_massless_L_proton_Ty_region_2,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_2,2,1.3867299694196678e-10,1.0000000000000000e+00,1.1556371606650035e+00,high_s_high_theta_in_mid_Egamma,kp,1.4051680111695128e+00,6.3439328416364582e-01,-1.2538111104237941e+00,0.0000000000000000e+00,1.4051680111695128e+00,5.1808027480769256e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0268215637865308e+00,1.5707949999999999e+00,8.8357293382212898e-01,1.0000000000000000e+00,4.0251655874119221e+00,3.7299646910771584e+00,3.2920635927379788e-01,-2.0531371805581982e+00,8.4800513605963044e+00,5.4904884917975705e-01
c_massless_gamma_lepton_massless_L_proton_Ty_region_2,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_2,2,1.3867299694196678e-10,1.0000000000000000e+00,1.1556371606650035e+00,high_s_high_theta_in_mid_Egamma,pp,2.2333494243915526e+00,0.0000000000000000e+00,2.0268215637865308e+00,0.0000000000000000e+00,2.0268215637865308e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0268215637865308e+00,1.5707949999999999e+00,8.8357293382212898e-01,1.0000000000000000e+00,4.0251655874119221e+00,3.7299646910771584e+00,3.2920635927379788e-01,-2.0531371805581982e+00,8.4800513605963044e+00,5.4904884917975705e-01
c_massless_gamma_lepton_massless_L_proton_Ty_region_2,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_2,2,1.3867299694196678e-10,1.0000000000000000e+00,1.1556371606650035e+00,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,-6.3439328416364582e-01,-7.7301045336273666e-01,0.0000000000000000e+00,1.0000000000000000e+00,4.0251655874119221e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0268215637865308e+00,1.5707949999999999e+00,8.8357293382212898e-01,1.0000000000000000e+00,4.0251655874119221e+00,3.7299646910771584e+00,3.2920635927379788e-01,-2.0531371805581982e+00,8.4800513605963044e+00,5.4904884917975705e-01
c_massless_gamma_lepton_massless_L_proton_Ty_region_3,enhanced_cluster,C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_Ty,enhanced_region_3,3,7.7665929266297819e-11,1.0000000000000000e+00,1.7717645593496201e+00,high_s_high_theta_in_mid_Egamma,k,2.2244176384674761e+00,2.0550939279353826e+00,-8.5124777690143294e-01,-2.9513459707981364e-06,2.2244176384674756e+00,5.8904862254808616e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.7516369519636883e+00,1.5707949999999999e+00,2.7488935718910685e+00,1.0000000000000000e+00,5.8904862254808616e+00,8.8141142820353870e+00,6.2384413059681920e-01,-4.8516774942651733e+00,6.1944420833484148e+00,6.8466332454854673e-01
