detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_ep_low_egamma_lty_region_2,egamma_region_max,C_e_p,C_{l_auxp},LTy,low_Egamma_LTy_region_2,2,5.3124975822645548e-01,1.0000000000000009e+00,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,qout,2.5000000000000000e-01,1.5308084989341915e-17,2.5000000000000000e-01,0.0000000000000000e+00,2.5000000000000000e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8435165757929837e+00,1.5707949999999999e+00,4.8105637508093704e+00,2.5000000000000000e-01,1.5707963267948966e+00,1.7601230053719799e+01,9.9365145849593584e-01,-1.5512134253452066e+01,9.9230007155628130e-01,9.0210257309411734e-01
c_ep_mid_egamma_lty_region_0,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_0,0,8.8490178263912445e-01,1.0000000000000000e+00,3.0446157015490574e+00,high_s_high_theta_in_mid_Egamma,k,2.3322107010022441e+00,-8.0629199274113250e-01,1.9465610641084696e+00,-2.7954805740877554e-06,2.1069425131857251e+00,1.9634954084936211e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0246227737253712e+00,1.5707949999999999e+00,5.1050880620834143e+00,1.0000000000000000e+00,1.7671458676442586e+00,1.6613965943365017e+01,9.5579428159510682e-01,-8.6368360399839510e+00,1.6482439729054650e+00,8.8522947220770476e-01
c_ep_mid_egamma_lty_region_0,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_0,0,8.8490178263912445e-01,1.0000000000000000e+00,3.0446157015490574e+00,high_s_high_theta_in_mid_Egamma,p,2.3063067345583890e+00,8.0629199274113250e-01,-1.9465610641084696e+00,2.7954805740877554e-06,2.1069425131857251e+00,5.1050880620834143e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0246227737253712e+00,1.5707949999999999e+00,5.1050880620834143e+00,1.0000000000000000e+00,1.7671458676442586e+00,1.6613965943365017e+01,9.5579428159510682e-01,-8.6368360399839510e+00,1.6482439729054650e+00,8.8522947220770476e-01
c_ep_mid_egamma_lty_region_0,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_0,0,8.8490178263912445e-01,1.0000000000000000e+00,3.0446157015490574e+00,high_s_high_theta_in_mid_Egamma,kp,2.2493825146711313e+00,1.9509032201612819e-01,-2.0054080541286017e+00,0.0000000000000000e+00,2.0148751071240674e+00,4.8093659324254254e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0246227737253712e+00,1.5707949999999999e+00,5.1050880620834143e+00,1.0000000000000000e+00,1.7671458676442586e+00,1.6613965943365017e+01,9.5579428159510682e-01,-8.6368360399839510e+00,1.6482439729054650e+00,8.8522947220770476e-01
c_ep_mid_egamma_lty_region_0,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_0,0,8.8490178263912445e-01,1.0000000000000000e+00,3.0446157015490574e+00,high_s_high_theta_in_mid_Egamma,pp,1.3891349208902184e+00,0.0000000000000000e+00,1.0246227737253712e+00,0.0000000000000000e+00,1.0246227737253712e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0246227737253712e+00,1.5707949999999999e+00,5.1050880620834143e+00,1.0000000000000000e+00,1.7671458676442586e+00,1.6613965943365017e+01,9.5579428159510682e-01,-8.6368360399839510e+00,1.6482439729054650e+00,8.8522947220770476e-01
c_ep_mid_egamma_lty_region_0,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_0,0,8.8490178263912445e-01,1.0000000000000000e+00,3.0446157015490574e+00,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,-1.9509032201612819e-01,9.8078528040323043e-01,0.0000000000000000e+00,9.9999999999999989e-01,1.7671458676442586e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0246227737253712e+00,1.5707949999999999e+00,5.1050880620834143e+00,1.0000000000000000e+00,1.7671458676442586e+00,1.6613965943365017e+01,9.5579428159510682e-01,-8.6368360399839510e+00,1.6482439729054650e+00,8.8522947220770476e-01
c_ep_mid_egamma_lty_region_1,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_1,1,8.7867143118520286e-01,9.9999999999999978e-01,2.8570193075976258e+00,high_s_high_theta_in_mid_Egamma,k,2.3322107010022441e+00,1.4898333386425420e+00,1.4898333386425415e+00,-2.7954805740877554e-06,2.1069425131857251e+00,7.8539816339744817e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0678353791008681e+00,1.5707949999999999e+00,3.9269908169872414e+00,1.0000000000000000e+00,9.8174770424681035e-01,1.5656709102861068e+01,9.3620560578361656e-01,-7.9780498653184502e+00,1.9467146387451502e+00,8.5167955498096470e-01
c_ep_mid_egamma_lty_region_1,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_1,1,8.7867143118520286e-01,9.9999999999999978e-01,2.8570193075976258e+00,high_s_high_theta_in_mid_Egamma,p,2.3063067345583890e+00,-1.4898333386425420e+00,-1.4898333386425415e+00,2.7954805740877554e-06,2.1069425131857251e+00,3.9269908169872410e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0678353791008681e+00,1.5707949999999999e+00,3.9269908169872414e+00,1.0000000000000000e+00,9.8174770424681035e-01,1.5656709102861068e+01,9.3620560578361656e-01,-7.9780498653184502e+00,1.9467146387451502e+00,8.5167955498096470e-01
c_ep_mid_egamma_lty_region_1,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_1,1,8.7867143118520286e-01,9.9999999999999978e-01,2.8570193075976258e+00,high_s_high_theta_in_mid_Egamma,kp,2.2172094475234800e+00,-5.5557023301960229e-01,-1.8993049914034135e+00,0.0000000000000000e+00,1.9788930577945276e+00,4.4278156343925223e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0678353791008681e+00,1.5707949999999999e+00,3.9269908169872414e+00,1.0000000000000000e+00,9.8174770424681035e-01,1.5656709102861068e+01,9.3620560578361656e-01,-7.9780498653184502e+00,1.9467146387451502e+00,8.5167955498096470e-01
c_ep_mid_egamma_lty_region_1,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_1,1,8.7867143118520286e-01,9.9999999999999978e-01,2.8570193075976258e+00,high_s_high_theta_in_mid_Egamma,pp,1.4213079880376014e+00,0.0000000000000000e+00,1.0678353791008681e+00,0.0000000000000000e+00,1.0678353791008681e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0678353791008681e+00,1.5707949999999999e+00,3.9269908169872414e+00,1.0000000000000000e+00,9.8174770424681035e-01,1.5656709102861068e+01,9.3620560578361656e-01,-7.9780498653184502e+00,1.9467146387451502e+00,8.5167955498096470e-01
c_ep_mid_egamma_lty_region_1,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_1,1,8.7867143118520286e-01,9.9999999999999978e-01,2.8570193075976258e+00,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,5.5557023301960229e-01,8.3146961230254524e-01,0.0000000000000000e+00,1.0000000000000000e+00,9.8174770424681035e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.0678353791008681e+00,1.5707949999999999e+00,3.9269908169872414e+00,1.0000000000000000e+00,9.8174770424681035e-01,1.5656709102861068e+01,9.3620560578361656e-01,-7.9780498653184502e+00,1.9467146387451502e+00,8.5167955498096470e-01
c_ep_mid_egamma_lty_region_2,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_2,2,8.6276399520482439e-01,1.0000000000000000e+00,2.6524701587923438e+00,high_s_high_theta_in_mid_Egamma,k,2.3322107010022441e+00,-2.0664582035865293e+00,4.1104409336651282e-01,-2.7954805740877554e-06,2.1069425131857251e+00,2.9452431127404308e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.1855355011263682e+00,1.5707949999999999e+00,6.0868357663302239e+00,1.0000000000000000e+00,2.6507188014663878e+00,1.2927267403991166e+01,8.7151961608375228e-01,-6.1879694147425610e+00,2.7855960317398893e+00,7.5539923791663588e-01
c_ep_mid_egamma_lty_region_2,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_2,2,8.6276399520482439e-01,1.0000000000000000e+00,2.6524701587923438e+00,high_s_high_theta_in_mid_Egamma,p,2.3063067345583890e+00,2.0664582035865293e+00,-4.1104409336651282e-01,2.7954805740877554e-06,2.1069425131857251e+00,6.0868357663302239e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.1855355011263682e+00,1.5707949999999999e+00,6.0868357663302239e+00,1.0000000000000000e+00,2.6507188014663878e+00,1.2927267403991166e+01,8.7151961608375228e-01,-6.1879694147425610e+00,2.7855960317398893e+00,7.5539923791663588e-01
c_ep_mid_egamma_lty_region_2,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_2,2,8.6276399520482439e-01,1.0000000000000000e+00,2.6524701587923438e+00,high_s_high_theta_in_mid_Egamma,kp,2.1267838530691447e+00,8.8192126434835494e-01,-1.6569322379523661e+00,0.0000000000000000e+00,1.8770214590344025e+00,5.2015114751821390e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.1855355011263682e+00,1.5707949999999999e+00,6.0868357663302239e+00,1.0000000000000000e+00,2.6507188014663878e+00,1.2927267403991166e+01,8.7151961608375228e-01,-6.1879694147425610e+00,2.7855960317398893e+00,7.5539923791663588e-01
c_ep_mid_egamma_lty_region_2,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_2,2,8.6276399520482439e-01,1.0000000000000000e+00,2.6524701587923438e+00,high_s_high_theta_in_mid_Egamma,pp,1.5117335824909588e+00,0.0000000000000000e+00,1.1855355011263682e+00,0.0000000000000000e+00,1.1855355011263682e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.1855355011263682e+00,1.5707949999999999e+00,6.0868357663302239e+00,1.0000000000000000e+00,2.6507188014663878e+00,1.2927267403991166e+01,8.7151961608375228e-01,-6.1879694147425610e+00,2.7855960317398893e+00,7.5539923791663588e-01
c_ep_mid_egamma_lty_region_2,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_2,2,8.6276399520482439e-01,1.0000000000000000e+00,2.6524701587923438e+00,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,-8.8192126434835494e-01,4.7139673682599786e-01,0.0000000000000000e+00,1.0000000000000000e+00,2.6507188014663878e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.1855355011263682e+00,1.5707949999999999e+00,6.0868357663302239e+00,1.0000000000000000e+00,2.6507188014663878e+00,1.2927267403991166e+01,8.7151961608375228e-01,-6.1879694147425610e+00,2.7855960317398893e+00,7.5539923791663588e-01
c_ep_mid_egamma_lty_region_3,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_3,3,8.3484452738488368e-01,9.9999999999999989e-01,2.5337290482345782e+00,high_s_high_theta_in_mid_Egamma,k,2.3322107010022441e+00,2.0664582035865298e+00,-4.1104409336651260e-01,-2.7954805740877554e-06,2.1069425131857256e+00,6.0868357663302239e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.3323729116447272e+00,1.5707949999999999e+00,2.9452431127404308e+00,1.0000000000000000e+00,9.8174770424681035e-02,1.0308311113865459e+01,7.7471194124600973e-01,-4.6609422647243335e+00,3.8775251718427755e+00,6.7763252626340598e-01
c_ep_mid_egamma_lty_region_3,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_3,3,8.3484452738488368e-01,9.9999999999999989e-01,2.5337290482345782e+00,high_s_high_theta_in_mid_Egamma,p,2.3063067345583890e+00,-2.0664582035865298e+00,4.1104409336651260e-01,2.7954805740877554e-06,2.1069425131857256e+00,2.9452431127404308e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.3323729116447272e+00,1.5707949999999999e+00,2.9452431127404308e+00,1.0000000000000000e+00,9.8174770424681035e-02,1.0308311113865459e+01,7.7471194124600973e-01,-4.6609422647243335e+00,3.8775251718427755e+00,6.7763252626340598e-01
c_ep_mid_egamma_lty_region_3,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_3,3,8.3484452738488368e-01,9.9999999999999989e-01,2.5337290482345782e+00,high_s_high_theta_in_mid_Egamma,kp,2.0090814669864985e+00,-9.9518472667219693e-01,-1.4303900519742878e+00,0.0000000000000000e+00,1.7425292941550856e+00,4.1045253750294748e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.3323729116447272e+00,1.5707949999999999e+00,2.9452431127404308e+00,1.0000000000000000e+00,9.8174770424681035e-02,1.0308311113865459e+01,7.7471194124600973e-01,-4.6609422647243335e+00,3.8775251718427755e+00,6.7763252626340598e-01
c_ep_mid_egamma_lty_region_3,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_3,3,8.3484452738488368e-01,9.9999999999999989e-01,2.5337290482345782e+00,high_s_high_theta_in_mid_Egamma,pp,1.6294359685746009e+00,0.0000000000000000e+00,1.3323729116447272e+00,0.0000000000000000e+00,1.3323729116447272e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.3323729116447272e+00,1.5707949999999999e+00,2.9452431127404308e+00,1.0000000000000000e+00,9.8174770424681035e-02,1.0308311113865459e+01,7.7471194124600973e-01,-4.6609422647243335e+00,3.8775251718427755e+00,6.7763252626340598e-01
c_ep_mid_egamma_lty_region_3,egamma_region_max,C_e_p,C_{l_auxp},LTy,mid_Egamma_LTy_region_3,3,8.3484452738488368e-01,9.9999999999999989e-01,2.5337290482345782e+00,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,9.9518472667219693e-01,9.8017140329560604e-02,0.0000000000000000e+00,1.0000000000000000e+00,9.8174770424681035e-02,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.3323729116447272e+00,1.5707949999999999e+00,2.9452431127404308e+00,1.0000000000000000e+00,9.8174770424681035e-02,1.0308311113865459e+01,7.7471194124600973e-01,-4.6609422647243335e+00,3.8775251718427755e+00,6.7763252626340598e-01
