detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
f3_lepton_massless_Tx_proton_Tx_region_0,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Tx,enhanced_region_0,0,9.5254096178323966e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_high_Egamma,k,2.2244176384674761e+00,4.0861889113705664e-16,2.2244176384655181e+00,-2.9513459707981364e-06,2.2244176384674761e+00,1.5707963267948963e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0640160253307238e-01,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,2.0616701789183018e+00,1.5964030537498955e+01,8.3912259034319214e-01,-3.2715705509364690e+00,3.9404836611305898e+00,9.2191656322104809e-01
f3_lepton_massless_Tx_proton_Tx_region_0,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Tx,enhanced_region_0,0,9.5254096178323966e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_high_Egamma,p,2.4140997970931570e+00,-4.0861889113705664e-16,-2.2244176384655181e+00,2.9513459707981364e-06,2.2244176384674761e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0640160253307238e-01,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,2.0616701789183018e+00,1.5964030537498955e+01,8.3912259034319214e-01,-3.2715705509364690e+00,3.9404836611305898e+00,9.2191656322104809e-01
f3_lepton_massless_Tx_proton_Tx_region_0,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Tx,enhanced_region_0,0,9.5254096178323966e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_high_Egamma,kp,1.8945019160788346e+00,8.4851412628679590e-01,-1.6938598783601113e+00,0.0000000000000000e+00,1.8945019160788346e+00,5.1767845116462112e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0640160253307238e-01,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,2.0616701789183018e+00,1.5964030537498955e+01,8.3912259034319214e-01,-3.2715705509364690e+00,3.9404836611305898e+00,9.2191656322104809e-01
f3_lepton_massless_Tx_proton_Tx_region_0,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Tx,enhanced_region_0,0,9.5254096178323966e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_high_Egamma,pp,9.4401551948133022e-01,0.0000000000000000e+00,1.0640160253307238e-01,0.0000000000000000e+00,1.0640160253307238e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0640160253307238e-01,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,2.0616701789183018e+00,1.5964030537498955e+01,8.3912259034319214e-01,-3.2715705509364690e+00,3.9404836611305898e+00,9.2191656322104809e-01
f3_lepton_massless_Tx_proton_Tx_region_0,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Tx,enhanced_region_0,0,9.5254096178323966e-01,9.9999999999999989e-01,nan,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,-8.4851412628679590e-01,1.5874582758270390e+00,0.0000000000000000e+00,1.8000000000000000e+00,2.0616701789183018e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0640160253307238e-01,1.5707949999999999e+00,4.7123889803846897e+00,1.8000000000000000e+00,2.0616701789183018e+00,1.5964030537498955e+01,8.3912259034319214e-01,-3.2715705509364690e+00,3.9404836611305898e+00,9.2191656322104809e-01
f3_lepton_massless_Tx_proton_Tx_region_1,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Tx,enhanced_region_1,1,9.5242788377458965e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,k,2.2244176384674761e+00,8.5124777690143305e-01,2.0550939279353826e+00,-2.9513459707981364e-06,2.2244176384674756e+00,1.1780972450961718e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3783235472265357e-01,1.5707949999999999e+00,4.3196898986859651e+00,1.8000000000000000e+00,6.8722339297276724e-01,1.6039134680238593e+01,8.3810361827192181e-01,-3.3843128757280803e+00,3.9781218431789029e+00,9.2737994395316448e-01
f3_lepton_massless_Tx_proton_Tx_region_1,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Tx,enhanced_region_1,1,9.5242788377458965e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,p,2.4140997970931570e+00,-8.5124777690143305e-01,-2.0550939279353826e+00,2.9513459707981364e-06,2.2244176384674756e+00,4.3196898986859651e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3783235472265357e-01,1.5707949999999999e+00,4.3196898986859651e+00,1.8000000000000000e+00,6.8722339297276724e-01,1.6039134680238593e+01,8.3810361827192181e-01,-3.3843128757280803e+00,3.9781218431789029e+00,9.2737994395316448e-01
f3_lepton_massless_Tx_proton_Tx_region_1,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Tx,enhanced_region_1,1,9.5242788377458965e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,kp,1.8904447811676059e+00,-1.3914188160529266e+00,-1.2797402662172155e+00,0.0000000000000000e+00,1.8904447811676059e+00,3.8852061297405140e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3783235472265357e-01,1.5707949999999999e+00,4.3196898986859651e+00,1.8000000000000000e+00,6.8722339297276724e-01,1.6039134680238593e+01,8.3810361827192181e-01,-3.3843128757280803e+00,3.9781218431789029e+00,9.2737994395316448e-01
f3_lepton_massless_Tx_proton_Tx_region_1,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Tx,enhanced_region_1,1,9.5242788377458965e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,pp,9.4807265439331778e-01,0.0000000000000000e+00,1.3783235472265357e-01,0.0000000000000000e+00,1.3783235472265357e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3783235472265357e-01,1.5707949999999999e+00,4.3196898986859651e+00,1.8000000000000000e+00,6.8722339297276724e-01,1.6039134680238593e+01,8.3810361827192181e-01,-3.3843128757280803e+00,3.9781218431789029e+00,9.2737994395316448e-01
f3_lepton_massless_Tx_proton_Tx_region_1,enhanced_cluster,F3,F_3,lepton_massless_Tx_proton_Tx,enhanced_region_1,1,9.5242788377458965e-01,9.9999999999999978e-01,nan,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,1.3914188160529266e+00,1.1419079114945618e+00,0.0000000000000000e+00,1.8000000000000000e+00,6.8722339297276724e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3783235472265357e-01,1.5707949999999999e+00,4.3196898986859651e+00,1.8000000000000000e+00,6.8722339297276724e-01,1.6039134680238593e+01,8.3810361827192181e-01,-3.3843128757280803e+00,3.9781218431789029e+00,9.2737994395316448e-01
